GEOID,2014_Filings,2015_Filings,2016_Filings,Total_Filings,2014_Evictions,2015_Evictions,2016_Evictions,Total_Evictions,Rate_2014,Rate_2015,Rate_2016,eviction-rate
12057013504,29,19,30,78,17,8,18,43,0.586206897,0.421052632,0.6,0.551282051
12057013505,54,39,50,143,26,27,22,75,0.481481481,0.692307692,0.44,0.524475524
12057013602,8,5,25,38,7,4,14,25,0.875,0.8,0.56,0.657894737
12057013604,20,31,32,83,8,16,19,43,0.4,0.516129032,0.59375,0.518072289
12057013702,27,46,49,122,21,19,27,67,0.777777778,0.413043478,0.551020408,0.549180328
12057013703,45,53,83,181,29,31,38,98,0.644444444,0.58490566,0.457831325,0.541436464
12057013704,84,89,98,271,57,50,54,161,0.678571429,0.561797753,0.551020408,0.594095941
12057013801,40,65,99,204,21,30,48,99,0.525,0.461538462,0.484848485,0.485294118
12057013802,43,31,47,121,26,16,23,65,0.604651163,0.516129032,0.489361702,0.537190083
12057013803,44,54,41,139,17,27,20,64,0.386363636,0.5,0.487804878,0.460431655
12057013804,115,95,98,308,65,63,43,171,0.565217391,0.663157895,0.43877551,0.555194805
12057013806,7,14,5,26,6,8,3,17,0.857142857,0.571428571,0.6,0.653846154
12057013807,31,26,28,85,15,15,15,45,0.483870968,0.576923077,0.535714286,0.529411765
12057013903,3,12,8,23,2,5,4,11,0.666666667,0.416666667,0.5,0.47826087
12057013907,2,9,4,15,1,4,3,8,0.5,0.444444444,0.75,0.533333333
12057013908,24,24,43,91,11,12,21,44,0.458333333,0.5,0.488372093,0.483516484
12057013912,12,7,9,28,6,3,6,15,0.5,0.428571429,0.666666667,0.535714286
12057013913,3,9,17,29,1,4,5,10,0.333333333,0.444444444,0.294117647,0.344827586
12057013914,1,9,5,15,1,3,4,8,1,0.333333333,0.8,0.533333333
12057013915,26,20,22,68,16,7,11,34,0.615384615,0.35,0.5,0.5
12057013916,18,36,33,87,12,19,13,44,0.666666667,0.527777778,0.393939394,0.505747126
12057013917,21,25,21,67,7,15,7,29,0.333333333,0.6,0.333333333,0.432835821
12057013918,6,3,7,16,4,2,4,10,0.666666667,0.666666667,0.571428571,0.625
12057013919,21,22,27,70,8,11,12,31,0.380952381,0.5,0.444444444,0.442857143
12057013920,4,4,4,12,1,1,1,3,0.25,0.25,0.25,0.25
12057013921,1,4,3,8,0,2,0,2,0,0.5,0,0.25
12057013922,10,11,10,31,3,6,5,14,0.3,0.545454545,0.5,0.451612903
12057013923,4,3,14,21,0,2,9,11,0,0.666666667,0.642857143,0.523809524
12057014002,11,5,12,28,1,1,7,9,0.090909091,0.2,0.583333333,0.321428571
12057014003,0,4,0,4,0,1,0,1,#DIV/0!,0.25,#DIV/0!,0.25
12057014007,20,36,28,84,12,19,15,46,0.6,0.527777778,0.535714286,0.547619048
12057014008,2,1,1,4,1,0,1,2,0.5,0,1,0.5
12057014009,1,0,1,2,0,0,1,1,0,#DIV/0!,1,0.5
12057014010,0,2,2,4,0,1,2,3,#DIV/0!,0.5,1,0.75
12057014011,1,2,4,7,0,0,0,0,0,0,0,0.518092225
12057014012,0,0,1,1,0,0,0,0,#DIV/0!,#DIV/0!,0,0.518092225
12057014013,9,14,14,37,4,8,11,23,0.444444444,0.571428571,0.785714286,0.621621622
12057014014,1,2,1,4,0,2,1,3,0,1,1,0.75
12057014015,1,1,0,2,0,1,0,1,0,1,#DIV/0!,0.5
12057014016,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0.518092225
12057014104,8,4,3,15,4,2,2,8,0.5,0.5,0.666666667,0.533333333
12057014106,14,16,27,57,5,9,16,30,0.357142857,0.5625,0.592592593,0.526315789
12057014108,32,39,41,112,16,16,15,47,0.5,0.41025641,0.365853659,0.419642857
12057014109,15,30,29,74,9,10,14,33,0.6,0.333333333,0.482758621,0.445945946
12057014117,8,12,12,32,4,4,4,12,0.5,0.333333333,0.333333333,0.375
12057014118,4,7,8,19,1,4,3,8,0.25,0.571428571,0.375,0.421052632
12057014119,18,20,19,57,7,12,6,25,0.388888889,0.6,0.315789474,0.438596491
12057014121,14,20,14,48,7,7,6,20,0.5,0.35,0.428571429,0.416666667
